#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Subdivision/Condo Name,Heated Area,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP
12,TB8340557,ACT,26451 GLENHAVEN RD,WESLEY CHAPEL,33544,ANGUS VALLEY,,924,"$238,888 ",3,2,0,1994,None,Manufactured Home - Post 1977,Fee Simple,"$1,327.91 ",2,2,,,,$258.54 ,,
13,TB8319352,ACT,29254 BAY HOLLOW DR Unit#3262,WESLEY CHAPEL,33543,SADDLEBROOK CONDO CL 05,,819,"$245,000 ",1,1,0,1984,Community,Condominium,Fee Simple,"$1,435.00 ",67,67,,,,$299.15 ,,
14,TB8332278,ACT,3289 GRIFFIN RD,WESLEY CHAPEL,33543,N/A,,960,"$249,900 ",3,2,0,1995,None,Mobile Home - Pre 1976,Fee Simple,$623.13 ,30,30,,,,$260.31 ,,
15,TB8331440,ACT,3538 KIAH DR,WESLEY CHAPEL,33543,TERRACE PARK PH 03,,"1,404","$250,000 ",4,2,0,2001,None,Manufactured Home - Post 1977,Fee Simple,"$2,073.34 ",31,31,,,,$178.06 ,,
16,TB8324971,ACT,6633 DOG ROSE DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,960,"$254,900 ",3,2,0,1996,None,Manufactured Home - Post 1977,Fee Simple,"$1,413.76 ",55,55,,,,$265.52 ,,
17,TB8322753,ACT,5230 BLUE ROAN WAY,WESLEY CHAPEL,33544,SADDLE CRK MANOR,,"1,686","$275,000 ",3,2,1,2004,Community,Townhouse,Fee Simple,"$4,270.60 ",5,5,,,,$163.11 ,,
18,TB8338224,ACT,4946 CACTUS NEEDLE LN,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,385","$279,000 ",3,2,1,2007,Community,Townhouse,Fee Simple,"$2,372.83 ",3,3,,,,$201.44 ,,
19,TB8330418,ACT,3741 NEW RIVER RD,WESLEY CHAPEL,33543,WILLIAMS NEW RIVER ACRES UNREC,,"1,248","$280,000 ",3,2,0,1998,Private,Manufactured Home - Post 1977,Fee Simple,"$1,901.00 ",35,35,,,,$224.36 ,,
20,TB8331463,ACT,4247 ASHTON MEADOWS WAY,WESLEY CHAPEL,33543,ASHTON OAKS SUB,,"1,442","$284,900 ",3,2,0,2007,Community,Villa,Fee Simple,$301.91 ,163,26,,,,$197.57 ,,
21,TB8326538,ACT,1020 BLACKWATER DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 3B,,"1,630","$284,900 ",3,2,1,2004,Community,Townhouse,Fee Simple,"$2,027.54 ",48,48,,,,$174.79 ,,
22,TB8332565,ACT,5110 CACTUS NEEDLE LN,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,534","$284,995 ",3,2,1,2007,Community,Townhouse,Fee Simple,"$2,596.00 ",28,28,,,,$185.79 ,,
23,TB8323329,ACT,5108 CACTUS NEEDLE LN,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,241","$285,000 ",2,2,1,2007,Community,Townhouse,Fee Simple,"$2,190.00 ",56,56,,,,$229.65 ,,
24,TB8336929,ACT,2123 HALLIER CV,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$287,299 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,11,11,,,,$209.25 ,,
25,TB8336413,ACT,3611 BELLMEADE CT,WESLEY CHAPEL,33543,MEADOW POINTE IV PRCL N,,"1,634","$287,900 ",3,2,1,2021,None,Townhouse,Fee Simple,"$7,382.66 ",158,12,,,,$176.19 ,,
26,TB8320078,ACT,3632 BELLMEADE CT,WESLEY CHAPEL,33543,MEADOW POINTE IV PRCL N,,"1,634","$289,990 ",3,2,1,2021,Community,Townhouse,Fee Simple,"$7,382.66 ",70,70,,,,$177.47 ,,
27,TB8333512,ACT,2920 EVERGREEN ELM PASS,WESLEY CHAPEL,33543,ASHBERRY VILLAGE PH 2B,,"1,673","$293,900 ",3,2,1,2022,Community,Townhouse,Fee Simple,"$5,192.00 ",22,22,,,,$175.67 ,,
28,TB8332759,ACT,30405 ELDERWOOD DR,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL UU,,"1,660","$294,500 ",2,2,1,2008,Community,Townhouse,Fee Simple,"$4,913.89 ",27,27,,,,$177.41 ,,
29,TB8323600,ACT,31309 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$294,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,60,60,,,,$176.32 ,,
30,TB8339361,ACT,26519 CASTLEVIEW WAY,WESLEY CHAPEL,33544,BAY AT CYPRESS CREEK,,"1,588","$295,000 ",3,2,1,2005,Community,Townhouse,Fee Simple,"$3,656.52 ",4,4,,,,$185.77 ,,
31,TB8329846,ACT,32925 PEZ LANDING LN,WESLEY CHAPEL,33543,UNION PARK PH 7B,,"1,673","$299,000 ",3,2,1,2022,Community,Townhouse,Fee Simple,"$6,120.64 ",25,25,,,,$178.72 ,,
32,TB8339264,ACT,1819 RAVENRIDGE ST,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 12,,"1,356","$299,900 ",2,2,0,2001,Community,Villa,Fee Simple,"$2,869.65 ",5,5,,,,$221.17 ,,
33,TB8323610,ACT,31305 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$299,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,60,60,,,,$179.31 ,,
34,TB8325470,ACT,1648 COLT CREEK PL,WESLEY CHAPEL,33543,UNION PARK PH 7B,,"1,673","$299,999 ",3,2,1,2021,Community,Townhouse,Fee Simple,"$6,269.25 ",39,39,,,,$179.32 ,,
35,TB8328292,ACT,31639 BLUE PASSING LOOP,WESLEY CHAPEL,33545,EPPERSON NORTH TWNHMS PH 4,,"1,597","$302,999 ",3,2,1,2022,Community,Townhouse,Fee Simple,"$3,506.00 ",38,38,,,,$189.73 ,,
36,TB8335967,ACT,4402 SAILPLANE CT,WESLEY CHAPEL,33545,WYNDRUSH TOWNHOMES,,"1,531","$304,800 ",3,2,1,2022,Community,Townhouse,Fee Simple,$452.00 ,40,12,,,,$199.09 ,,
37,TB8339350,ACT,31287 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$304,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,5,5,,,,$182.30 ,,
38,TB8332784,ACT,31290 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$304,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,26,26,,,,$182.30 ,,
39,TB8321530,ACT,32013 BLUE PASSING LOOP,WESLEY CHAPEL,33545,EPPERSON NORTH TWNHMS PH 4,,"1,597","$304,990 ",3,2,1,2021,Community,Townhouse,Fee Simple,"$4,589.23 ",60,60,,,,$190.98 ,,
40,TB8333546,ACT,6554 GENTLE BEN CIR,WESLEY CHAPEL,33544,FAIRWAYS QUAIL HOLLOW PH 02,,"1,585","$305,000 ",3,2,0,2001,None,Single Family Residence,Fee Simple,"$3,829.00 ",6,6,,,,$192.43 ,,
41,TB8320224,ACT,27526 DESERT WILLOW WAY,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,576","$305,000 ",3,2,1,2016,Community,Townhouse,Fee Simple,"$2,221.42 ",69,69,,,,$193.53 ,,
42,TB8339660,ACT,32535 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RDG PH A-1,,"1,673","$307,000 ",3,2,1,2022,Community,Townhouse,Fee Simple,"$6,205.00 ",3,3,,,,$183.50 ,,
43,W7869774,ACT,1698 HUBBELL RD,WESLEY CHAPEL,33543,UNION PARK PH 7A & OLDWOODS AVEN,,"1,673","$309,000 ",3,2,1,2020,Community,Townhouse,Fee Simple,"$4,626.00 ",60,60,,,,$184.70 ,,
44,TB8336556,ACT,34196 POLACCA LN,WESLEY CHAPEL,33543,RIVER LANDING,,"1,555","$309,900 ",3,2,1,2023,Community,Townhouse,Fee Simple,"$4,992.00 ",12,12,,,,$199.29 ,,
45,TB8339352,ACT,31283 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,5,5,,,,$185.29 ,,
46,TB8339347,ACT,31291 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,5,5,,,,$185.29 ,,
47,TB8332785,ACT,31294 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,26,26,,,,$185.29 ,,
48,TB8332783,ACT,31288 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,26,26,,,,$185.29 ,,
49,TB8332781,ACT,31286 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,26,26,,,,$185.29 ,,
50,TB8323636,ACT,31276 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,60,60,,,,$185.29 ,,
51,TB8327941,ACT,4427 ASHTON MEADOWS WAY,WESLEY CHAPEL,33543,ASHTON OAKS SUB,,"1,545","$310,000 ",3,2,0,2008,Community,Villa,Fee Simple,"$4,313.00 ",10,10,,,,$200.65 ,,
52,TB8338721,ACT,32599 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$314,990 ",3,2,1,2026,Community,Townhouse,Fee Simple,$0.00 ,6,6,,,,$188.28 ,,
53,TB8337573,ACT,32611 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$314,990 ",3,2,1,2026,Community,Townhouse,Fee Simple,$0.00 ,10,10,,,,$188.28 ,,
54,TB8336638,ACT,30618 BIRDHOUSE DR,WESLEY CHAPEL,33545,CHAPEL PINES PH 1A,,"1,158","$315,000 ",3,2,0,2002,None,Single Family Residence,Fee Simple,"$1,842.63 ",10,10,,,,$272.02 ,,
55,TB8336023,ACT,31447 SHAKER CIR,WESLEY CHAPEL,33543,MEADOW POINTE 03 PH 01 UNIT 1C-1,,"1,551","$315,000 ",2,2,0,2003,Community,Villa,Fee Simple,"$6,404.91 ",12,12,,,,$203.09 ,,
56,TB8326834,ACT,31386 AMBERVIEW BND,WESLEY CHAPEL,33545,WESLEY RESERVE AT CHAPEL CROSSINGS,,"1,451","$315,000 ",2,2,1,2023,Community,Townhouse,Fee Simple,"$1,374.00 ",46,46,,,,$217.09 ,,
57,TB8328457,ACT,1579 HUBBELL RD,WESLEY CHAPEL,33543,UNION PARK PH 7B,,"1,673","$318,000 ",3,2,1,2021,Community,Townhouse,Fee Simple,"$4,896.00 ",39,39,,,,$190.08 ,,
58,TB8334985,ACT,3951 CLAYBROOK DR,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-6A,,"1,689","$319,000 ",3,2,1,2015,Community,Townhouse,Fee Simple,"$3,800.83 ",12,12,,,,$188.87 ,,
59,TB8332315,ACT,5025 CACTUS NEEDLE LN,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,676","$319,000 ",4,3,0,2017,Community,Townhouse,Fee Simple,"$2,407.00 ",28,28,,,,$190.33 ,,
60,TB8338723,ACT,32595 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$319,990 ",3,2,1,2026,Community,Townhouse,Fee Simple,$0.00 ,6,6,,,,$191.27 ,,
61,TB8338715,ACT,32603 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$319,990 ",3,2,1,2026,Community,Townhouse,Fee Simple,$0.00 ,6,6,,,,$191.27 ,,
62,TB8338713,ACT,32607 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$319,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,6,6,,,,$191.27 ,,
63,TB8335184,ACT,32615 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$319,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,10,10,,,,$191.27 ,,
64,TB8328685,ACT,2185 HALLIER CV,WESLEY CHAPEL,33543,RIVER LANDING,,"1,553","$320,399 ",3,2,1,2025,Community,Townhouse,Fee Simple,"$5,000.00 ",42,42,,,,$206.31 ,,
65,TB8328673,ACT,2161 HALLIER CV,WESLEY CHAPEL,33543,RIVER LANDING,,"1,553","$320,399 ",3,2,1,2025,Community,Townhouse,Fee Simple,"$5,000.00 ",42,42,,,,$206.31 ,,
66,TB8326094,ACT,33055 TULIP PETAL LN,WESLEY CHAPEL,33545,AVALON PK WEST-NORTH PHS 2 4 5,,"1,758","$324,900 ",3,2,1,2023,Community,Townhouse,Fee Simple,"$5,403.00 ",47,47,,,,$184.81 ,,
67,TB8332786,ACT,31270 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,758","$324,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,26,26,,,,$184.86 ,,
68,TB8323539,ACT,31520 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$324,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,60,60,,,,$207.66 ,,
69,TB8323538,ACT,31512 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$324,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,60,60,,,,$207.66 ,,
70,W7869754,ACT,1931 SASSAFRAS DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 12,,"1,566","$327,000 ",2,2,0,2000,Community,Villa,Fee Simple,"$5,828.00 ",70,70,,,,$208.81 ,,
71,TB8339335,ACT,31267 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,758","$328,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,5,5,,,,$187.14 ,,
72,TB8339330,ACT,31295 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,758","$328,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,5,5,,,,$187.14 ,,
73,TB8323617,ACT,31477 WOODLAND RACE LOOP,WESLEY CHAPEL,33545,TWIN CREEKS AT CHAPEL CROSSINGS,,"1,667","$329,870 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$2,199.00 ",60,60,,,,$197.88 ,,
74,TB8336404,ACT,32174 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,673","$329,900 ",3,2,1,2023,Community,Townhouse,Fee Simple,"$5,898.00 ",12,12,,,,$197.19 ,,
75,TB8320081,ACT,34209 ROGALLO LN,WESLEY CHAPEL,33545,WYNDRUSH TOWNHOMES,,"1,648","$329,990 ",3,2,1,2022,Community,Townhouse,Fee Simple,"$4,406.00 ",69,69,,,,$200.24 ,,
76,TB8335893,ACT,5526 CANNONADE DR,WESLEY CHAPEL,33544,LEXINGTON OAKS PH 01,,"1,486","$330,000 ",3,2,0,1999,Community,Single Family Residence,Fee Simple,"$4,866.78 ",9,9,,,,$222.07 ,,
77,TB8327364,ACT,31225 CLARIDGE PL,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL CC,,"1,612","$330,000 ",4,3,0,2016,Community,Townhouse,Fee Simple,"$6,163.64 ",45,45,,,,$204.71 ,,
78,TB8321536,ACT,31819 BLYTHEWOOD WAY,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL PP & QQ,,"1,549","$330,000 ",2,2,0,2005,Community,Villa,Fee Simple,"$5,317.78 ",66,66,,,,$213.04 ,,
79,TB8338324,ACT,2279 PARAVANE WAY,WESLEY CHAPEL,33543,RIVER LANDING,,"1,553","$335,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$1,070.37 ",5,5,,,,$215.71 ,,
80,TB8335713,ACT,30826 PROUT CT,WESLEY CHAPEL,33543,MEADOW POINTE 03 PH 01 UNIT 1C-2,,"1,713","$335,000 ",3,2,0,2003,Community,Villa,Fee Simple,"$6,300.92 ",11,11,,,,$195.56 ,,
81,TB8328090,ACT,31216 MASENA DR,WESLEY CHAPEL,33545,BRIDGEWATER PH 01 & 02,,"1,496","$335,000 ",3,2,0,2005,None,Single Family Residence,Fee Simple,"$2,868.66 ",45,45,,,,$223.93 ,,
82,TB8338819,ACT,1722 SASSAFRAS DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 12,,"1,553","$335,900 ",2,2,0,1999,Community,Villa,Fee Simple,"$3,159.95 ",6,6,,,,$216.29 ,,
83,TB8332778,ACT,31534 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$335,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,26,26,,,,$214.69 ,,
84,TB8323550,ACT,31526 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$335,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,60,60,,,,$214.69 ,,
85,TB8330591,ACT,27355 BREAKERS DR,WESLEY CHAPEL,33544,NORTHWOOD,,"1,386","$339,000 ",3,2,0,1995,None,Single Family Residence,Fee Simple,"$5,651.00 ",34,34,,,,$244.59 ,,
86,TB8321361,ACT,5513 BROOKLET WOODS DR,WESLEY CHAPEL,33545,TWIN CRKS/CHAPEL XINGS,,"1,680","$339,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$2,081.00 ",63,63,,,,$201.79 ,,
87,TB8329041,ACT,31471 WOODLAND RACE LOOP,WESLEY CHAPEL,33545,TWIN CREEKS AT CHAPEL CROSSINGS,,"1,667","$339,874 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$2,220.00 ",41,41,,,,$203.88 ,,
88,TB8327412,ACT,7689 IMAGINATION PL,WESLEY CHAPEL,33545,TOWNS/WATERGRASS,,"1,566","$340,000 ",3,2,1,2023,Community,Townhouse,Fee Simple,"$4,534.43 ",39,39,,,,$217.11 ,,
89,TB8323584,ACT,31545 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$342,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,60,60,,,,$219.16 ,,
90,TB8338769,ACT,32591 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,758","$343,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,6,6,,,,$195.67 ,,
91,TB8332777,ACT,31537 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$343,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,26,26,,,,$219.80 ,,
92,TB8335187,ACT,32619 TURTLE GRACE LOOP,WESLEY CHAPEL,33545,MEADOW RIDGE,,"1,758","$345,990 ",3,2,1,2025,Community,Townhouse,Fee Simple,$0.00 ,6,6,,,,$196.81 ,,
93,TB8332779,ACT,31523 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$346,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,26,26,,,,$221.72 ,,
94,TB8323579,ACT,31531 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$346,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,60,60,,,,$221.72 ,,
95,TB8340062,ACT,6147 TIMBERDALE AVE,WESLEY CHAPEL,33545,TIMBERDALE AT CHAPEL CROSSING,,"1,431","$349,066 ",2,2,0,2025,None,Villa,Fee Simple,"$2,665.00 ",3,3,,,,$243.93 ,,
96,TB8337086,ACT,29857 SOUTHWELL LN,WESLEY CHAPEL,33543,WINDERMERE ESTATES,,"1,571","$350,000 ",2,2,1,2022,Community,Townhouse,Fee Simple,"$5,577.28 ",10,10,,,,$222.79 ,,
97,TB8335440,ACT,30836 TEMPLE STAND AVE,WESLEY CHAPEL,33543,ASHLEY PINES,,"1,678","$350,000 ",3,2,0,2006,None,Single Family Residence,Fee Simple,"$3,895.60 ",14,14,,,,$208.58 ,,
98,TB8322968,ACT,29130 BAY HOLLOW DR Unit#3311,WESLEY CHAPEL,33543,SADDLEBROOK CONDO CL 05,,"1,096","$350,000 ",2,2,0,1983,Community,Condominium,Condominium,"$1,143.27 ",56,56,,,,$319.34 ,,
99,TB8331832,ACT,2389 WARREN ACRES DR,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$354,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,32,32,,,,$226.83 ,,
100,TB8340479,ACT,6621 GENTLE BEN CIR,WESLEY CHAPEL,33544,FAIRWAYS QUAIL HOLLOW PH 02,,"1,532","$355,000 ",3,2,0,2001,None,Single Family Residence,Fee Simple,"$1,746.15 ",2,2,,,,$231.72 ,,
101,TB8334395,ACT,29955 SOUTHWELL LN,WESLEY CHAPEL,33543,WINDERMERE ESTATES,,"1,571","$355,000 ",2,2,1,2021,None,Townhouse,Fee Simple,"$6,241.00 ",390,18,,,,$225.97 ,,
102,TB8339504,ACT,6905 SOTRA ST,WESLEY CHAPEL,33545,BRIDGEWATER PH 01 & 02,,"1,782","$359,000 ",4,3,0,2004,None,Single Family Residence,Fee Simple,"$4,703.79 ",348,5,,,,$201.46 ,,
103,TB8320535,ACT,6156 TIMBERDALE AVE,WESLEY CHAPEL,33545,TIMBERDALE AT CHAPEL CROSSING,,"1,509","$359,041 ",2,2,0,2024,None,Villa,Fee Simple,"$2,639.00 ",69,69,,,,$237.93 ,,
104,TB8324159,ACT,1911 TARPON CT,WESLEY CHAPEL,33543,TANGLEWOOD VILLAGE,,"1,544","$360,000 ",3,2,0,1982,None,Single Family Residence,Fee Simple,"$1,562.00 ",59,59,,,,$233.16 ,,
105,TB8331849,ACT,2375 WARREN ACRES BLVD,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$364,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,32,32,,,,$233.22 ,,
106,TB8331841,ACT,2383 WARREN ACRES BLVD,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$364,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,32,32,,,,$233.22 ,,
107,TB8337152,ACT,34104 WHITE FOUNTAIN CT,WESLEY CHAPEL,33545,WATERGRASS PCLS F-1 & F-3,,"1,616","$365,000 ",4,2,0,2020,Community,Single Family Residence,Fee Simple,"$5,351.00 ",10,10,,,,$225.87 ,,
108,TB8328831,ACT,4407 HUDDLESTONE DR,WESLEY CHAPEL,33545,HAMILTON PARK,,"2,052","$365,000 ",3,2,0,2006,None,Single Family Residence,Fee Simple,"$4,904.42 ",223,36,,,,$177.88 ,,
109,TB8336644,ACT,7652 RATHDOWN LN,WESLEY CHAPEL,33545,PALM COVE PH 02,,"1,624","$368,000 ",3,2,0,2012,Community,Single Family Residence,Fee Simple,"$2,486.67 ",10,10,,,,$226.60 ,,
110,TB8332930,ACT,5246 GATO DEL SOL CIR,WESLEY CHAPEL,33544,LEXINGTON OAKS VILLAGE 25 26,,"1,463","$369,000 ",3,2,0,2003,Community,Single Family Residence,Fee Simple,"$2,570.00 ",18,18,,,,$252.22 ,,
111,TB8326912,ACT,6162 TIMBERDALE AVE,WESLEY CHAPEL,33545,TIMBERDALE AT CHAPEL CROSSING,,"1,509","$369,734 ",2,2,0,2024,None,Villa,Fee Simple,"$2,665.00 ",47,47,,,,$245.02 ,,
112,TB8332766,ACT,2401 WARREN ACRES BLVD,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$369,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,26,26,,,,$236.42 ,,
113,TB8332765,ACT,2407 WARREN ACRES BLVD,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$369,990 ",3,2,0,2025,Community,Villa,Fee Simple,$0.00 ,26,26,,,,$236.42 ,,
